p1 p2 p3
0.767 -0.259 0
-0.815 1.962 0
-0.796 1.746 0
1.870 0.697 1
0.786 -0.363 1
0.775 1.280 0
-0.450 -0.105 0
1.380 -0.028 1
-0.244 0.890 1
1.056 1.586 0
-0.783 1.216 1
0.396 1.827 0
1.639 1.020 0
1.547 1.620 1
0.946 -0.660 0
-0.453 -0.552 0
0.620 -0.566 0
-0.344 0.679 0
-0.967 1.118 0
0.687 1.908 1
0.775 1.095 0
1.344 1.282 1
-0.004 1.291 1
-0.446 1.837 0
1.732 1.188 1
-0.202 1.834 0
0.243 1.156 0
1.447 -0.912 0
1.344 1.787 0
1.092 0.301 0
1.737 -0.770 1
-0.118 -0.600 0
0.350 0.522 1
0.855 -0.134 0
-0.336 1.922 0
-0.732 0.070 0
0.048 -0.755 1
1.938 1.604 1
-0.904 0.194 0
0.568 1.616 1
1.956 -0.304 1
1.084 -0.856 1
0.664 -0.769 0
0.967 0.447 1
0.481 1.171 0
1.587 -0.661 1
0.220 -0.892 1
1.538 1.525 0
1.586 0.190 1
0.967 -0.071 0
-0.495 1.454 1
1.912 0.034 1
1.457 1.160 1
1.631 -0.790 1
0.814 0.121 1
-0.060 1.050 1
0.167 -0.957 0
-0.458 1.701 1
0.666 0.850 1
-0.637 -0.798 1
-0.653 0.025 1
1.885 1.810 1
0.469 0.937 0
1.478 -0.659 0
1.847 -0.821 1
1.734 -0.502 1
1.185 0.900 1
1.802 0.209 1
1.409 -0.864 1
-0.281 -0.047 1
0.000 0.147 0
0.744 1.101 1
1.329 0.748 0
0.692 0.246 1
0.988 0.642 0
1.266 1.536 0
-0.874 1.754 1
0.393 -0.991 0
0.779 0.568 1
-0.447 -0.077 0
0.206 0.452 1
1.118 -0.907 1
0.224 -1.000 0
1.680 0.222 0
0.534 1.360 1
-0.613 0.238 0
0.064 -0.431 0
0.276 -0.379 1
1.294 1.885 1
-0.393 -0.259 0
1.595 1.125 0
1.193 -0.808 1
1.559 1.990 0
-0.260 1.121 0
0.336 -0.591 0
1.172 1.566 1
1.961 0.861 0
-0.028 0.785 0
-0.306 -0.282 1
0.509 1.594 1
1.350 1.571 0
1.376 0.696 1
-0.367 1.570 1
-0.278 0.017 1
1.468 -0.249 0
0.583 -0.961 1
-0.663 0.373 0
1.219 1.132 1
1.610 1.251 1
1.445 0.888 1
1.880 0.089 1
0.964 0.456 1
1.296 -0.187 0
1.701 0.873 0
-0.107 0.905 0
0.140 1.398 1
1.932 1.733 0
-0.351 0.846 0
-0.773 0.893 0
0.822 0.920 0
1.482 1.530 0
-0.193 -0.453 0
-0.378 -0.317 1
0.641 1.207 1
0.130 1.611 1
-0.418 -0.728 0
1.376 1.128 1
1.446 -0.666 0
1.952 0.938 1
1.937 -0.459 0
-0.994 -0.032 1
1.981 -0.070 1
0.575 0.698 0
0.058 1.761 1
0.920 0.499 0
1.540 -0.153 0
-0.147 -0.036 0
0.018 0.894 1
0.081 1.240 0
-0.358 1.826 1
0.527 -0.635 0
0.448 0.126 0
0.673 -0.402 1
0.695 0.163 0
0.891 0.754 0
1.198 0.530 1
1.773 1.537 0
-0.339 1.376 1
-0.534 -0.128 0
-0.990 1.738 0
1.008 0.241 0
-0.274 1.873 1
-0.343 -0.986 1
0.180 1.599 0
0.230 1.785 1
1.964 0.618 0
1.429 0.700 1
-0.773 0.856 0
1.181 1.797 1
0.005 1.794 0
0.967 0.336 0
1.558 0.803 1
0.157 0.131 1
0.700 1.476 1
1.344 1.886 1
0.135 -0.039 1
-0.324 -0.474 1
1.790 0.295 0
1.190 -0.466 0
-0.855 1.736 0
1.145 0.280 0
1.571 0.101 0
0.357 0.356 1
0.660 0.092 0
-0.472 -0.090 0
1.562 -0.365 0
1.585 0.980 0
-0.688 0.212 1
1.010 0.824 0
-0.830 1.194 1
-0.828 -0.742 1
-0.049 -0.828 0
0.665 1.985 0
0.359 1.296 0
-0.364 1.931 0
1.319 1.602 0
1.122 1.578 0
1.313 1.349 0
-0.617 1.295 0
-0.289 1.352 0
0.233 1.677 0
-0.893 -0.685 0
0.377 1.870 1
0.647 1.164 0
1.740 -0.088 1
1.369 1.381 0
0.803 1.062 0
-0.467 1.334 1
0.938 1.134 1
1.953 -0.381 0
-0.264 1.834 0
0.333 -0.619 0
-0.654 1.085 1
0.598 -0.341 0
0.804 0.371 1
0.231 0.712 1
0.371 -0.939 1
0.602 -0.646 0
-0.140 -0.252 0
0.303 1.289 0
0.976 0.580 0
-0.518 -0.556 0
1.644 1.594 1
0.176 -0.701 1
0.347 1.049 0
-0.354 1.225 1
-0.547 -0.239 1
0.705 -0.185 1
1.557 1.432 1
0.057 0.216 0
1.806 -0.010 1
-0.372 0.466 0
0.236 1.914 1
1.900 -0.176 1
1.108 -0.424 1
1.242 0.105 1
-0.763 0.569 1
1.249 0.013 0
1.325 -0.960 0
1.067 0.473 0
1.299 0.026 0
1.734 -0.033 0
-0.360 0.787 1
-0.492 0.865 1
0.719 1.138 1
-0.794 -0.239 1
0.128 0.781 1
-0.470 0.801 0
1.015 1.644 1
1.407 1.023 0
-0.582 0.208 0
0.318 1.687 0
1.596 -0.158 0
1.633 0.607 0
1.363 1.140 0
1.945 1.487 0
1.424 0.250 1
-0.598 1.253 0
0.703 1.208 0
0.041 0.385 0
1.683 0.275 1
-0.879 0.256 1
1.734 -0.736 1
0.458 -0.543 0
1.449 -0.120 1
1.754 1.136 0
-0.025 0.048 1
-0.063 1.331 0
1.351 1.251 1
1.486 0.300 1
1.834 -0.143 0
1.773 0.859 1
0.240 1.461 0
-0.609 -0.289 1
1.272 1.210 1
0.487 1.782 1
-0.143 -0.860 0
1.098 0.554 0
0.476 -0.488 0
1.484 -0.604 0
-0.500 0.141 0
1.459 1.903 0
-0.480 1.729 1
0.728 1.221 0
1.685 1.203 1
1.216 1.388 1
0.033 -0.956 0
-0.596 1.663 0
1.822 -0.377 0
1.664 0.860 0
1.866 1.532 1
-0.413 0.685 1
0.871 1.920 1
1.322 -0.939 1
1.762 -0.177 0
1.905 0.472 1
-0.980 1.500 1
0.597 1.287 0
0.015 0.767 0
-0.789 1.099 0
0.341 0.328 1
-0.548 1.056 1
0.145 -0.893 1
-0.755 1.195 1
1.465 -0.413 0
0.073 -0.225 0
1.559 -0.862 1
1.304 0.612 1
0.243 1.353 1
-0.467 1.408 0
0.220 -0.620 1
1.907 -0.909 0
0.416 0.255 0
-0.538 0.140 1
0.313 0.238 0
-0.541 -0.073 1
0.281 1.144 1
-0.287 0.045 0
0.912 1.677 1
0.926 0.641 1
1.355 -0.238 1
0.025 0.752 0
-0.353 -0.119 1
0.491 0.638 1
1.047 1.404 1
0.695 0.114 0
1.370 0.924 0
-0.771 1.882 1
-0.681 -0.410 1
-0.759 1.870 1
1.821 0.437 1
-0.231 -0.441 1
1.356 1.726 1
1.072 1.318 0
0.296 1.271 0
-0.036 1.741 1
1.233 -0.225 0
-0.850 -0.024 0
-0.685 0.166 0
0.554 0.059 1
0.579 -0.076 1
0.659 1.251 1
0.285 0.419 0
-0.165 -0.635 0
-0.754 0.245 0
1.675 -0.894 0
1.168 -0.451 1
-0.674 1.399 0
-0.025 0.369 0
-0.173 1.727 0
-0.850 -0.037 0
-0.565 -0.541 1
0.062 1.147 1
-0.034 0.187 1
1.304 0.624 1
0.123 -0.939 1
0.025 0.320 0
0.834 -0.884 1
1.261 -0.283 1
0.578 1.614 1
-0.728 -0.815 0
1.726 1.367 1
-0.127 -0.684 0
0.871 -0.920 1
-0.233 -0.741 0
-0.839 0.679 0
0.879 0.051 0
-0.366 0.645 0
-0.307 0.951 0
0.548 0.349 1
-0.423 0.774 0
-0.282 1.383 0
1.125 1.223 0
0.847 0.896 0
0.485 0.225 1
0.863 0.924 0
1.694 -0.739 1
0.246 1.726 1
1.010 0.701 1
0.366 0.118 1
0.250 1.137 1
-0.183 1.804 1
1.115 1.719 1
1.746 -0.292 1
1.534 -0.517 1
-0.809 -0.687 1
-0.014 1.689 1
1.410 0.990 0
1.843 0.150 0
-0.781 -0.671 1
0.696 1.572 1
1.321 -0.519 1
0.695 -0.121 0
0.642 -0.519 0
1.876 1.554 1
-0.336 1.589 1
-0.502 1.966 0
1.757 1.620 1
0.376 -0.292 1
1.513 1.278 0
-0.786 0.929 0
1.081 1.488 1
1.938 1.666 0
1.498 0.732 1
0.030 -0.823 1
-0.977 1.380 0
0.858 -0.723 1
1.471 0.025 0
0.018 1.671 0
1.545 0.816 1
0.655 -0.716 0
0.172 0.788 1
1.808 0.597 1
1.832 1.202 0
0.736 -0.018 0
-0.103 -0.128 1
0.253 1.030 0
-0.041 0.501 0
0.063 -0.111 1
0.166 0.017 0
-0.907 0.598 0
0.555 1.900 0
-0.177 -0.586 1
-0.614 1.521 0
-0.376 1.154 1
0.472 0.471 1
-0.911 1.520 1
1.519 1.901 1
0.365 1.438 1
-0.549 1.845 1
1.490 -0.610 0
0.751 0.564 0
1.723 0.747 1
0.788 0.873 0
-0.121 -0.899 1
1.155 -0.525 0
0.662 1.599 0
-0.999 1.296 0
1.997 -0.720 1
-0.637 -0.182 1
-0.634 -0.598 1
-0.502 1.411 0
1.139 -0.220 1
-0.776 0.667 0
0.910 1.118 1
1.243 -0.265 0
-0.175 0.342 0
1.481 -0.348 1
0.922 0.934 0
-0.581 -0.323 1
-0.539 1.263 1
1.428 1.625 0
-0.744 -0.078 1
-0.899 1.199 0
1.011 0.059 1
0.586 -0.674 1
1.651 0.712 1
0.920 0.487 1
1.659 -0.860 0
-0.639 1.052 0
-0.595 1.157 1
0.726 0.613 0
-0.519 0.467 0
0.717 0.320 0
-0.965 1.997 0
0.260 0.210 1
0.105 -0.773 1
0.837 1.540 0
-0.051 1.528 0
1.819 -0.873 1
1.383 0.493 1
-0.203 -0.327 0
1.110 1.269 1
1.921 0.105 1
1.056 1.894 1
-0.773 0.905 0
0.703 1.628 0
1.974 0.442 0
0.420 -0.716 1
1.977 0.310 1
0.802 -0.434 0
-0.060 0.655 1
0.995 0.401 0
1.789 0.517 0
-0.963 0.270 0
-0.994 0.153 1
0.187 1.544 0
1.959 -0.622 0
0.259 0.814 0
0.244 0.897 1
0.959 -0.771 1
0.006 0.635 1
0.210 -0.173 1
0.284 1.073 0
-0.504 0.865 1
1.337 -0.417 1
1.186 0.160 0
-0.021 -0.244 1
1.873 1.415 0
1.914 0.740 1
-0.295 1.556 0
0.069 0.574 0
0.719 1.064 1
-0.076 1.515 0
0.174 1.309 0
1.850 -0.620 1
1.886 0.885 1
0.440 1.871 0
0.557 -0.061 1
0.841 0.914 0
-0.885 0.509 1
1.091 0.991 1
1.039 -0.147 0
0.449 1.473 1
1.701 0.787 1
0.730 1.952 1
-0.306 0.014 0
0.638 0.575 1
1.165 -0.540 0
1.098 0.381 1
-0.849 1.607 1
0.592 -0.372 0
-0.088 0.825 1
1.490 -0.869 0
0.263 0.706 1
0.386 -0.405 0
-0.094 0.399 1
1.426 0.943 1
0.769 0.941 1
1.648 0.660 1
-0.667 1.591 1
-0.688 0.114 0
1.967 1.163 1
1.232 0.898 1
0.265 1.363 1
-0.888 0.160 0
-0.625 0.114 1
1.878 -0.062 0
0.333 1.900 0
1.010 0.491 1
-0.600 0.090 1
0.881 1.633 0
1.389 0.277 1
0.082 0.068 1
-0.995 0.609 1
1.761 0.723 0
-0.827 1.123 0
1.956 0.078 1
0.376 0.078 0
0.925 1.504 1
1.982 1.290 0
1.484 -0.406 0
0.586 -0.538 1
0.336 -0.505 1
0.335 0.519 1
-0.593 -0.755 1
1.265 1.943 0
1.179 1.104 1
1.638 -0.894 0
0.021 0.885 1
-0.734 -0.402 1
-0.472 0.292 0
0.854 0.569 1
1.846 0.252 1
0.328 1.055 0
-0.987 -0.754 0
1.169 1.316 1
-0.712 -0.355 0
1.748 1.167 1
1.485 1.040 0
0.657 0.310 0
1.310 1.580 0
1.045 0.673 0
-0.314 1.303 0
1.948 1.737 0
1.097 1.466 1
0.625 0.871 0
1.912 -0.114 1
-0.108 1.669 1
1.724 0.266 0
-0.547 0.279 0
1.681 -0.468 0
1.232 0.737 1
1.820 1.165 0
1.712 -0.696 1
0.400 0.535 0
1.263 0.793 1
1.237 -0.764 1
0.478 0.909 1
-0.967 0.415 1
1.505 0.578 1
-0.284 0.110 0
-0.620 1.280 0
0.765 1.579 1
-0.637 -0.613 1
0.552 1.638 1
0.269 0.490 1
0.670 -0.010 1
0.802 -0.261 1
1.266 1.561 0
1.887 0.170 0
1.377 -0.167 1
-0.994 0.042 0
1.263 1.176 1
0.529 0.170 0
0.739 0.182 0
0.049 1.258 0
-0.493 -1.000 0
1.715 0.232 0
-0.505 1.667 1
-0.438 0.573 0
0.184 1.442 1
0.851 0.652 0
1.943 0.139 1
0.396 -0.939 1
-0.634 -0.536 1
1.900 1.949 1
0.601 0.340 1
-0.709 -0.648 1
0.684 1.251 1
-0.951 0.529 0
1.876 1.566 1
-0.456 -0.703 0
-0.010 0.878 1
-0.630 1.357 1
-0.269 0.335 0
1.674 -0.364 1
-0.976 -0.026 1
-0.506 -0.383 0
-0.648 1.055 0
-0.912 1.668 0
0.084 1.391 1
0.272 0.382 0
0.812 1.688 0
-0.251 0.909 1
-0.314 1.870 1
-0.555 1.284 0
-0.259 -0.581 0
1.842 0.767 0
-0.761 1.707 1
1.310 1.173 0
1.992 1.324 0
1.441 1.206 0
-0.295 1.420 1
1.384 1.791 0
1.304 1.031 1
-0.824 1.410 1
1.270 0.417 0
0.076 -0.567 1
0.974 -0.607 1
-0.101 1.453 1
-0.992 0.661 0
0.348 -0.381 0
1.521 0.149 1
-0.650 -0.034 0
1.549 0.338 1
1.386 0.755 0
-0.649 1.597 1
-0.174 -0.200 0
0.743 1.520 1
0.262 0.805 0
-0.571 -0.745 1
0.844 0.695 0
0.333 1.838 1
1.608 -0.047 0
-0.062 -0.470 1
0.814 -0.051 1
1.615 0.144 0
-0.725 -0.726 0
-0.046 -0.615 1
0.697 1.079 1
0.106 1.179 1
-0.996 1.398 1
0.106 1.006 1
0.679 0.493 0
-0.786 1.238 1
1.091 1.176 0
-0.755 1.466 1
1.833 0.153 0
1.903 -0.160 1
0.054 -0.650 0
-0.887 -0.604 1
0.791 1.246 0
1.357 1.393 0
1.302 0.214 0
-0.995 0.646 1
1.402 -0.154 1
0.650 0.859 1
0.796 -0.711 1
1.441 1.958 1
1.409 -0.420 1
1.413 1.424 0
-0.278 -0.020 1
1.827 0.628 1
-0.893 -0.697 0
0.497 1.162 1
0.155 -0.748 1
1.126 0.175 1
-0.986 0.754 0
0.642 -0.297 0
-0.277 -0.710 1
-0.475 0.005 1
1.539 0.230 0
-0.854 0.898 1
0.279 0.167 0
1.096 -0.917 1
0.645 0.249 0
-0.474 -0.513 0
0.563 0.513 1
-0.530 1.593 0
1.515 -0.782 0
1.189 -0.231 0
-0.128 0.180 0
1.498 0.608 0
1.226 1.101 0
0.100 0.260 0
0.724 1.908 0
1.921 -0.240 0
1.405 0.083 1
0.443 1.368 0
1.527 -0.005 0
-0.964 0.899 0
1.905 0.238 1
1.292 0.057 0
0.243 0.959 0
0.360 -0.233 0
-0.533 1.195 1
0.277 1.511 1
0.059 1.206 0
0.302 1.659 0
0.388 0.806 1
-0.750 -0.196 0
-0.953 -0.300 0
1.824 0.095 0
-0.816 -0.187 0
-0.049 -0.433 1
-0.163 0.626 0
1.112 -0.519 0
1.265 -0.489 1
1.677 0.651 0
0.282 0.059 1
1.238 0.781 1
-0.408 1.418 0
0.945 -0.204 1
1.122 1.627 0
0.835 1.179 1
1.352 -0.056 1
-0.835 0.300 1
0.653 1.183 0
-0.248 1.751 1
-0.382 1.049 0
0.298 -0.320 1
0.394 0.467 0
0.730 -0.876 0
1.019 0.920 1
1.530 0.344 1
0.753 1.776 1
1.067 0.152 1
1.409 -0.370 1
0.935 1.254 0
1.691 1.628 1
1.280 -0.424 0
-0.474 1.809 0
1.142 0.597 1
-0.605 1.431 1
0.778 1.690 0
0.669 1.310 1
0.003 0.447 1
-0.061 -0.852 1
1.522 -0.985 0
1.354 0.872 1
1.260 1.431 1
1.952 0.963 1
1.698 0.956 1
-0.010 0.792 0
0.208 -0.596 1
-0.715 1.951 1
0.381 1.478 1
0.540 1.588 1
1.365 -0.895 1
0.681 1.741 1
1.199 -0.234 0
0.189 -0.331 0
-0.860 -0.169 1
0.434 1.186 0
0.005 1.893 0
0.010 -0.003 1
-0.504 1.100 1
-0.936 1.026 1
1.539 0.489 0
-0.366 0.756 1
1.616 1.319 1
1.978 -0.443 0
-0.902 1.406 0
-0.088 1.022 1
-0.423 1.452 0
-0.861 1.298 0
1.200 1.384 1
1.585 1.424 0
1.006 1.684 0
0.732 0.657 1
0.253 0.721 1
-0.050 0.813 1
-0.244 0.089 0
-0.169 0.595 0
0.220 -0.065 0
-0.476 0.930 0
1.568 -0.704 1
0.066 0.299 1
1.285 1.432 1
0.716 1.073 1
0.739 0.157 0
0.288 -0.157 1
1.523 1.176 1
0.488 0.758 0
0.785 0.414 0
-0.761 0.856 1
0.563 0.352 1
1.025 1.394 1
1.116 1.362 0
-0.785 0.189 1
-0.742 1.035 1
-0.598 0.944 1
0.693 1.520 1
-0.266 0.585 1
1.348 0.853 1
0.248 -0.407 1
0.703 1.295 1
-0.797 -0.662 0
-0.871 1.659 0
0.415 1.414 0
0.219 0.650 1
1.587 -0.032 1
0.120 -0.807 0
-0.356 0.038 0
-0.130 1.771 0
1.068 1.882 1
1.729 1.752 0
1.231 -0.684 0
1.510 1.731 0
1.723 1.043 0
0.917 -0.146 0
-0.306 -0.011 1
0.877 -0.840 1
0.180 1.636 1
-0.129 0.907 0
0.441 0.354 0
0.270 -0.089 0
0.292 -0.265 0
1.665 -0.126 1
-0.565 1.928 0
-0.795 0.723 0
-0.202 1.970 1
1.928 -0.061 0
0.862 -0.880 1
-0.909 1.893 0
-0.004 1.193 0
0.511 -0.823 1
0.794 0.892 0
0.891 0.939 0
-0.596 -0.856 0
0.157 0.217 0
-0.138 0.429 0
1.790 0.270 0
1.429 1.119 1
1.160 0.912 1
-0.082 0.806 1
-0.139 1.848 1
0.034 0.638 0
1.040 -0.998 1
-0.297 0.652 1
0.735 0.857 0
0.405 -0.892 1
-0.796 1.783 0
1.512 -0.181 0
-0.737 -0.627 1
-0.385 0.491 1
0.615 1.774 0
1.864 1.048 0
-0.814 1.025 1
-0.705 1.973 1
0.458 -0.617 1
-0.833 1.635 1
1.801 1.664 1
-0.705 1.627 0
0.807 0.571 1
0.383 -0.902 1
-0.375 0.031 0
-0.643 -0.916 0
-0.708 1.525 1
-0.302 1.845 1
-0.933 1.424 0
-0.223 1.196 0
0.764 -0.681 0
1.186 -0.160 1
0.089 -0.641 0
1.074 -0.298 1
0.965 1.582 1
1.477 0.266 1
1.876 1.245 0
-0.346 1.900 0
-0.809 -0.835 0
1.422 -0.802 1
1.503 -0.955 1
0.482 0.308 0
0.960 0.811 0
1.761 0.267 0
0.599 1.944 0
1.742 1.333 0
1.680 0.814 0
0.793 -0.678 0
-0.984 -0.985 0
-0.493 1.938 1
-0.687 -0.306 0
0.034 1.107 1
-0.505 1.889 1
0.409 1.309 0
0.044 -0.142 1
-0.108 1.916 0
-0.668 -0.583 1
0.298 -0.481 0
1.949 0.269 0
0.331 1.268 0
-0.955 1.340 0
0.916 1.199 0
1.656 -0.888 0
0.535 0.571 0
1.042 -0.045 1
1.558 0.199 1
0.018 1.461 0
0.578 0.787 1
1.286 -0.221 0
1.744 -0.739 1
0.774 1.946 0
-0.909 -0.898 0
0.963 1.221 0
-0.120 1.681 0
-0.778 -0.581 0
1.925 -0.410 0
-0.855 1.243 0
-0.070 1.978 0
-0.120 1.620 1
-0.180 1.881 0
-0.537 -0.970 0
-0.922 -0.441 1
0.155 1.845 1
-0.926 0.826 1
0.769 0.657 0
1.399 -0.614 1
0.010 -0.386 1
0.204 0.166 1
1.804 1.753 0
0.523 -0.354 1
1.631 -0.666 0
-0.382 1.197 1
1.863 -0.830 1
0.301 -0.589 1
-0.909 1.967 1
-0.722 -0.562 0
0.465 1.649 0
1.475 -0.687 0
0.021 1.699 1
0.371 1.296 0
-0.982 0.486 0
-0.661 1.202 0
1.271 -0.397 0
1.971 0.735 1
1.484 -0.801 0
1.414 0.820 0
-0.417 1.310 1
1.705 -0.061 1
-0.951 0.196 1
-0.895 0.462 1
1.253 1.672 0
1.428 1.983 1
1.787 -0.559 0
1.377 -0.352 0
0.800 1.428 1
-0.121 -0.505 1
0.328 1.117 0
1.415 -0.216 1
0.630 1.876 1
-0.645 1.329 1
1.523 1.299 0
-0.708 1.834 0
-0.292 1.534 0
-0.626 1.224 0
0.112 0.618 0
-0.362 -0.018 0
-0.782 0.809 1
1.343 -0.522 0
0.394 0.924 0
-0.695 1.304 1
1.233 -0.336 1
0.226 -0.392 1
0.885 0.958 0
1.033 -0.573 1
0.385 0.285 0
-0.792 1.022 1
1.993 0.017 0
-0.880 1.206 0
1.524 -0.255 1
-0.637 -0.317 1
0.682 0.619 1
0.084 1.379 1
0.392 -0.325 0
0.320 -0.224 0
-0.864 1.172 1
0.331 1.243 0
-0.716 -0.075 0
-0.069 0.375 1
0.429 -0.362 0
1.825 -0.682 1
0.720 0.237 1
1.938 -0.890 0
0.192 -0.797 0
-0.249 -0.991 0
0.106 0.907 0
1.636 0.832 0
1.276 0.941 1
-0.816 0.281 1
1.406 -0.546 0
0.543 1.283 0
0.421 1.482 1
0.752 -0.681 0
1.804 1.285 1
-0.931 -0.241 1
0.925 1.677 0
0.308 -0.804 1
-0.624 -0.638 0
0.174 1.778 0
0.305 -0.733 1
-0.408 1.542 1
-0.251 0.872 1
0.045 -0.253 0
0.969 1.548 1
0.901 0.209 1
0.777 1.888 0
1.755 0.630 0
1.879 1.039 0
0.753 0.938 1
0.201 0.039 1
0.934 1.612 0
1.222 1.147 1
0.556 1.024 0
-0.685 0.178 0
0.435 0.767 0
1.072 1.836 1
1.273 0.988 1
-0.360 1.046 0
-0.003 0.724 0
-0.944 -0.710 0
0.088 0.235 0
1.581 1.938 1
-0.083 -0.665 1
0.029 -0.416 1
1.076 0.729 0
-0.897 -0.626 1
0.713 0.342 0
-0.270 1.346 0
0.866 0.655 1
0.391 0.760 1
1.794 -0.960 0
0.456 1.430 0
0.311 -0.912 0
-0.482 1.060 1
-0.878 -0.052 0
1.725 -0.425 0
0.151 -0.344 0
1.114 0.458 1
-0.119 0.473 0
1.944 -0.921 1
1.682 1.212 0
-0.969 0.030 0
0.147 0.578 1
-0.923 0.459 1
0.423 -0.504 0
-0.991 -0.597 0
0.549 -0.551 1
-0.691 0.123 0
-0.218 -0.195 1
1.346 -0.568 0
-0.062 0.159 1
0.714 0.034 1
-0.280 1.658 1
0.560 0.855 0
0.055 1.338 1
-0.079 1.377 0
-0.576 0.460 0
-0.943 1.969 1
0.198 -0.161 0
0.782 0.226 0
1.968 0.177 1
1.801 1.294 1
-0.117 1.401 1
1.039 0.211 0
-0.019 0.992 0
0.977 -0.764 1
0.519 0.321 1
1.987 0.183 1
-0.686 0.980 0
1.660 1.757 1
0.069 0.118 1
-0.855 1.884 0
-0.290 -0.230 1
1.478 -0.955 1
1.718 0.198 0
1.920 1.610 1
1.463 1.215 1
-0.716 0.172 1
0.539 -0.474 0
1.275 1.879 1
-0.907 0.055 1
-0.182 0.768 0
-0.837 -0.715 1
-0.604 1.098 0
1.007 0.586 0
-0.623 0.685 1
1.441 1.551 1
-0.644 0.231 1
0.168 1.327 0
0.479 -0.336 0
-0.886 0.953 1
-0.215 -0.537 0
0.761 -0.314 1
1.532 1.000 1
-0.521 -0.658 1
0.536 -0.132 1
1.860 1.625 0
0.499 -0.786 1
1.053 1.460 1
1.348 1.075 1
1.095 0.329 0
0.564 -0.289 1
1.245 0.602 0
-0.482 0.936 0
0.318 1.872 0
-0.198 1.455 0
0.017 -0.713 0
1.564 0.193 1
1.269 1.885 1
0.842 -0.369 0
-0.446 1.924 1
0.895 0.141 0
0.244 0.219 1
1.537 -0.686 1
-0.069 0.473 0
-0.527 -0.701 1
-0.237 -0.386 1
-0.373 1.132 1
-0.223 1.122 1
1.482 1.074 0
1.233 0.367 0
-0.592 0.938 1
1.944 1.943 0
-0.002 -0.571 0
-0.384 -0.003 0
-0.601 0.472 0
0.173 -0.433 1
1.650 -0.450 0
1.098 0.911 0
0.008 -0.969 0
0.760 0.845 0
-0.711 1.510 1
0.752 -0.928 0
1.196 -0.866 0
1.223 0.518 1
0.656 0.939 0
1.209 1.665 0
-0.850 -0.814 1
0.970 -0.117 1
-0.951 0.690 0
0.321 1.764 1
-0.056 0.153 1
1.965 0.457 0
-0.016 0.502 0
1.827 -0.001 1
-0.793 -0.782 0
-0.609 -0.351 1
1.870 0.672 1
1.025 1.222 1
-0.210 0.456 1
1.323 0.421 1
-0.330 1.719 0
-0.567 1.173 1
1.436 0.497 1
-0.608 1.958 0
-0.431 0.049 1
0.458 -0.852 1
1.439 0.191 0
1.447 1.335 1
-0.360 0.627 0
1.063 0.667 0
0.319 0.281 1
0.232 0.181 1
-0.486 1.636 0
0.434 1.137 0
0.483 -0.938 0
1.041 1.348 0
0.042 -0.848 1
1.644 1.520 1
0.894 1.054 1
0.393 1.577 0
1.965 -0.196 0
0.324 -0.998 1
-0.263 0.662 1
-0.304 1.164 0
0.580 -0.557 1
-0.676 0.656 1
-0.914 0.851 1
-0.088 0.627 1
0.404 -0.189 0
1.386 0.114 0
-0.429 0.805 0
1.227 -0.625 0
1.846 0.203 1
0.806 1.225 1
0.044 0.598 0
1.715 -0.631 0
1.868 0.138 0
1.103 1.732 1
-0.755 1.861 1
1.006 1.795 1
-0.345 1.025 1
1.684 -0.071 0
-0.530 1.445 1
-0.049 -0.273 1
1.282 0.824 1
1.511 0.337 1
0.239 -0.910 0
-0.709 -0.204 1
-0.622 -0.277 0
1.771 0.362 1
-0.041 1.093 1
0.322 0.852 0
-0.205 1.794 1
1.536 -0.032 1
-0.408 1.973 1
1.563 1.636 1
-0.726 0.668 1
1.438 1.338 1
-0.676 1.137 1
0.421 1.445 1
1.111 0.196 1
0.327 1.549 0
0.228 0.548 0
-0.140 -0.203 0
-0.176 1.119 1
-0.055 -0.772 0
1.935 1.391 1
-0.936 1.100 1
0.821 1.734 0
-0.413 0.228 1
-0.703 -0.260 1
1.108 0.316 0
0.066 0.558 1
1.773 1.290 0
-0.947 -0.775 0
1.620 0.632 1
1.742 1.000 1
1.909 -0.290 0
-0.499 1.698 1
0.454 0.120 0
1.924 0.022 0
0.959 -0.993 1
-0.841 -0.101 1
0.349 1.410 1
1.243 -0.191 0
-0.893 1.588 1
1.434 -0.876 0
1.603 -0.645 1
1.549 0.436 1
0.429 0.415 1
0.289 1.893 0
1.733 0.695 0
1.583 0.532 0
1.552 -0.325 0
0.910 0.613 1
0.147 0.726 0
0.642 -0.051 1
0.331 1.441 1
0.370 -0.754 1
1.808 0.967 0
1.244 1.428 1
0.504 0.342 0
0.300 0.978 1
1.901 1.825 1
1.797 -0.735 0
0.368 1.232 1
0.550 0.882 0
-0.500 0.264 0
0.263 -0.022 0
1.443 -0.151 1
0.862 1.590 0
1.235 1.468 0
-0.172 -0.024 0
1.134 1.491 1
1.532 0.951 0
-0.043 -0.488 1
1.566 1.220 1
-0.594 -0.323 1
0.079 -0.292 1
0.408 -0.976 0
-0.893 1.896 0
1.444 1.813 1
1.910 -0.845 0
1.884 -0.142 1
-0.698 1.079 1
1.321 -0.137 0
-0.013 0.813 1
0.903 1.754 1
-0.108 -0.603 0
0.667 0.011 1
1.497 -0.912 1
1.872 -0.993 1
-0.827 1.703 0
-0.666 0.333 0
-0.487 -0.056 1
-0.245 1.137 0
1.664 0.737 1
0.063 0.457 1
0.664 -0.436 1
0.737 1.551 1
1.772 1.796 0
